iter	MultiClass
0	3.633757474
1	366.1872182
2	1181.976599
3	2226.690328
4	3009.295742
5	3214.141831
6	3059.02321
7	1708.967606
8	1696.750749
9	1674.821887
10	1143.411268
11	1250.313641
12	1296.283912
13	1066.399403
14	960.9394036
15	1228.912042
16	1386.821646
17	1228.802714
18	1003.492651
19	847.3822556
20	785.1616486
21	979.0837767
22	659.1231485
23	533.6467913
24	533.1865542
25	530.2936745
26	476.4427824
27	484.3593983
28	411.2404393
29	371.3152766
30	368.3210606
31	318.3768677
32	333.6957252
33	291.6606632
34	291.2676325
35	307.2864067
36	334.0929178
37	357.7793957
38	440.5753522
39	290.3177811
40	268.555444
41	229.1151547
42	241.0810211
43	247.4373705
44	262.6964452
45	233.9681425
46	297.7894104
47	236.9977759
48	226.4893884
49	251.1592734
50	268.4256645
51	223.0768279
52	213.2183488
53	259.7984831
54	227.8901147
55	226.0752605
56	232.6297146
57	253.551799
58	279.8151139
59	300.5981933
60	243.3841292
61	192.8471677
62	182.9226078
63	172.9130142
64	178.2055613
65	174.5435932
66	158.3547503
67	178.0561397
68	158.9229211
69	149.2094818
70	142.5056983
71	139.9268163
72	133.707766
73	137.0580416
74	188.4600832
75	166.3870476
76	173.4916195
77	158.7050968
78	156.7971007
79	154.4297553
80	152.8823496
81	151.6736559
82	156.55193
83	133.9515983
84	126.1381384
85	133.6438951
86	121.4477349
87	125.6113899
88	115.541108
89	124.1940445
90	112.5041461
91	101.0435734
92	98.97032708
93	94.51666636
94	96.90850514
95	96.17263647
96	112.2820041
97	107.2926487
98	103.3114443
99	112.4578528
