iter	Passed	Remaining
0	181	17953
1	332	16295
2	414	13404
3	478	11472
4	538	10237
5	645	10111
6	712	9469
7	768	8836
8	822	8316
9	872	7848
10	946	7655
11	1013	7429
12	1098	7350
13	1176	7229
14	1481	8396
15	1616	8486
16	1821	8893
17	1968	8969
18	2046	8725
19	2097	8391
20	2151	8095
21	2202	7809
22	2261	7571
23	2326	7368
24	2379	7139
25	2431	6920
26	2493	6741
27	2565	6596
28	2675	6551
29	2770	6464
30	2886	6424
31	2969	6310
32	3057	6208
33	3129	6074
34	3188	5921
35	3250	5779
36	3316	5646
37	3382	5519
38	3464	5418
39	3540	5311
40	3621	5211
41	3690	5097
42	3738	4955
43	3800	4837
44	3872	4733
45	3928	4611
46	4015	4528
47	4055	4393
48	4103	4270
49	4147	4147
50	4191	4027
51	4254	3927
52	4309	3821
53	4344	3700
54	4402	3601
55	4469	3511
56	4554	3435
57	4624	3349
58	4673	3247
59	4730	3153
60	4805	3072
61	4857	2977
62	4927	2893
63	5023	2825
64	5162	2779
65	5233	2695
66	5313	2617
67	5373	2528
68	5426	2437
69	5513	2362
70	5595	2285
71	5664	2202
72	5753	2127
73	5827	2047
74	5891	1963
75	5949	1878
76	6005	1793
77	6064	1710
78	6165	1639
79	6227	1556
80	6271	1471
81	6308	1384
82	6342	1298
83	6378	1214
84	6415	1132
85	6471	1053
86	6509	972
87	6548	892
88	6603	816
89	6645	738
90	6697	662
91	6745	586
92	6789	511
93	6842	436
94	6882	362
95	6929	288
96	6985	216
97	7042	143
98	7095	71
99	7181	0
